scenario,window,model,n_orders,n_targets,candidate_recall_at50,evaluable,k,candidate_recall,mean_candidates
complement_panier,1,cooccurrence_item_item,5338.0,5338,0.0,False,,,
complement_panier,1,bm25_panier,5338.0,5338,0.0,False,,,
complement_panier,1,association_lift,5338.0,5338,0.0,False,,,
complement_panier,1,popularite_categorie_contexte,5338.0,5338,0.0,False,,,
complement_panier,1,popularite_globale,5338.0,5338,0.0,False,,,
complement_panier,2,cooccurrence_item_item,5338.0,5338,0.287560884226302,True,,,
complement_panier,2,bm25_panier,5338.0,5338,0.2572124391157737,True,,,
complement_panier,2,association_lift,5338.0,5338,0.235481453727988,True,,,
complement_panier,2,popularite_categorie_contexte,5338.0,5338,0.2855001873360809,True,,,
complement_panier,2,popularite_globale,5338.0,5338,0.3471337579617834,True,,,
complement_panier,3,cooccurrence_item_item,5338.0,5338,0.24503559385537654,True,,,
complement_panier,3,bm25_panier,5338.0,5338,0.22442862495316598,True,,,
complement_panier,3,association_lift,5338.0,5338,0.1967028849756463,True,,,
complement_panier,3,popularite_categorie_contexte,5338.0,5338,0.23061071562382915,True,,,
complement_panier,3,popularite_globale,5338.0,5338,0.28681153990258523,True,,,
complement_panier,4,cooccurrence_item_item,5338.0,5338,0.22199325590108654,True,,,
complement_panier,4,bm25_panier,5338.0,5338,0.2071937055076808,True,,,
complement_panier,4,association_lift,5338.0,5338,0.18059198201573623,True,,,
complement_panier,4,popularite_categorie_contexte,5338.0,5338,0.2008242787560884,True,,,
complement_panier,4,popularite_globale,5338.0,5338,0.25477707006369427,True,,,
,1,rrf_top10,,5338,,False,10.0,0.0,0.0
,1,rrf_top20,,5338,,False,20.0,0.0,0.0
,1,rrf_top50,,5338,,False,50.0,0.0,0.0
,2,rrf_top10,,5338,,True,10.0,0.06444361183964031,50.0
,2,rrf_top20,,5338,,True,20.0,0.12289246908954665,50.0
,2,rrf_top50,,5338,,True,50.0,0.29636568002997377,50.0
,3,rrf_top10,,5338,,True,10.0,0.05357811914574747,50.0
,3,rrf_top20,,5338,,True,20.0,0.1034095166729112,50.0
,3,rrf_top50,,5338,,True,50.0,0.2485949793930311,50.0
,4,rrf_top10,,5338,,True,10.0,0.05114275009366804,50.0
,4,rrf_top20,,5338,,True,20.0,0.09647808167853128,50.0
,4,rrf_top50,,5338,,True,50.0,0.2240539527913076,50.0
