promo_key,produit_key,date_debut,date_fin,duree_jours,remise_pct,qty_direct_fact_ventes,n_confirmed_lines,qty_dataset,match
PRM0000,PRD000000,2025-03-02,2025-03-07,6,15.0,0.0,0,0.0,True
PRM0000,PRD000004,2025-03-02,2025-03-07,6,15.0,4.0,2,4.0,True
PRM0000,PRD000005,2025-03-02,2025-03-07,6,15.0,1.0,1,1.0,True
PRM0000,PRD000012,2025-03-02,2025-03-07,6,15.0,7.0,4,7.0,True
PRM0000,PRD000022,2025-03-02,2025-03-07,6,15.0,9.0,5,9.0,True
PRM0000,PRD000035,2025-03-02,2025-03-07,6,15.0,10.0,6,10.0,True
PRM0000,PRD000036,2025-03-02,2025-03-07,6,15.0,0.0,0,0.0,True
PRM0000,PRD000047,2025-03-02,2025-03-07,6,15.0,6.0,3,6.0,True
PRM0000,PRD000049,2025-03-02,2025-03-07,6,15.0,5.0,3,5.0,True
PRM0000,PRD000051,2025-03-02,2025-03-07,6,15.0,0.0,0,0.0,True
