window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
1,59,baseline_moyenne_produit,margin_window_xof_7j,0.15434963342474992,11730.402698683412,29172.176392466743,0.032342878557783596,225,0.0043,9.905
1,59,baseline_mediane_produit,margin_window_xof_7j,0.14249512843840492,10829.473333333333,28648.66967752992,0.029590105775212074,225,0.0032,9.905
1,59,GLM_Poisson,margin_window_xof_7j,0.3548374177877272,26967.2542192353,63444.47782956538,0.03977966135322716,225,0.3013,9.905
1,59,GLM_Tweedie,margin_window_xof_7j,0.37304309419260917,28350.865640219337,69971.20266232896,0.04559279425338187,225,0.2415,9.905
1,59,LightGBM_Poisson,margin_window_xof_7j,0.17215969218315497,13083.947612835469,28486.360253876268,0.04120461252275059,225,0.3443,9.905
1,59,LightGBM_Tweedie,margin_window_xof_7j,0.1639420040959866,12459.412339406043,29657.147663344633,0.03508271283086687,225,0.4419,9.905
1,59,LightGBM_L1,margin_window_xof_7j,0.18948999058324648,14401.031266425958,47523.79694745799,-0.021144846969769704,225,0.3768,9.905
1,59,LightGBM_Monotone,margin_window_xof_7j,0.1648757463804429,12530.37572798319,29860.80207475409,0.03389609393938019,225,0.4915,9.905
1,59,CatBoost_MAE,margin_window_xof_7j,0.2538408120542763,19291.62305532243,61452.631085101835,-0.043931339009804136,225,1.1229,9.905
1,59,Hurdle_zero_positif,margin_window_xof_7j,0.16418583481039972,12477.943206029498,29013.65197673551,0.046170977312387534,225,0.6067,9.905
1,59,S_learner,margin_window_xof_7j,0.1639420040959866,12459.412339406043,29657.147663344633,0.03508271283086687,225,0.3258,9.905
1,59,T_learner,margin_window_xof_7j,0.1423012220074481,10814.736657446787,26603.01146058778,0.02816971769899873,225,0.8088,9.905
1,59,Ensemble_contraint,margin_window_xof_7j,0.15527026914908312,11800.370003079295,28137.9780146286,0.03607892965025549,225,0.0,9.905
2,60,baseline_moyenne_produit,margin_window_xof_7j,0.16528972044509493,13585.421501097513,38080.89728616379,0.00759248899377653,195,0.0047,10.103
