window,experiment_week_index,model,target,wape_micro,mae,rmse,forecast_bias,n,train_seconds,peak_memory_mb
1,59,baseline_moyenne_produit,revenue_window_xof_7j,0.15495626055874367,61801.104849248,157805.766548552,0.04367601344900108,225,0.0036,8.827
1,59,baseline_mediane_produit,revenue_window_xof_7j,0.144982263870828,57823.182222222225,158265.08627851776,0.040627857947465894,225,0.0033,8.827
1,59,GLM_Poisson,revenue_window_xof_7j,0.3075478166410717,122659.09614659761,309070.4742043782,0.033757510590441575,225,0.2104,8.827
1,59,GLM_Tweedie,revenue_window_xof_7j,0.3161139218451062,126075.51032667221,327174.300787729,0.03265705685054386,225,0.1886,8.827
1,59,LightGBM_Poisson,revenue_window_xof_7j,0.16857555385645295,67232.8787577653,159841.1821032001,0.04954509930261407,225,0.406,8.827
1,59,LightGBM_Tweedie,revenue_window_xof_7j,0.16670786541856955,66487.98979000653,172410.69620653117,0.054931736332958295,225,0.3868,8.827
1,59,LightGBM_L1,revenue_window_xof_7j,0.16034429505185505,63950.011149899896,169144.23575526424,0.023542592298143154,225,0.3529,8.827
1,59,LightGBM_Monotone,revenue_window_xof_7j,0.16824236397746667,67099.99285453241,173556.02929121495,0.05474064934839624,225,0.435,8.827
1,59,CatBoost_MAE,revenue_window_xof_7j,0.18563239765306597,74035.64870117205,198233.32209760707,0.016435006852977073,225,1.0618,8.827
1,59,Hurdle_zero_positif,revenue_window_xof_7j,0.164402595559054,65568.58050779995,166916.81699167617,0.05858599250014838,225,0.6653,8.827
1,59,S_learner,revenue_window_xof_7j,0.16670786541856955,66487.98979000653,172410.69620653117,0.054931736332958295,225,0.4043,8.827
1,59,T_learner,revenue_window_xof_7j,0.1521046422754819,60663.79577971813,158664.20534672297,0.04614614439831288,225,0.8804,8.827
1,59,Ensemble_contraint,revenue_window_xof_7j,0.16061605172694124,64058.39568828463,164356.26129929296,0.05315759541561914,225,0.0,8.827
