window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.10556165622027944,4029.015040305547,7956.75551720439,-0.0643549101796138,39
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Bebe & Enfant,0.14377605423251846,14350.941811670487,25122.693651054906,0.030433956328627148,42
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.13892116336869564,168219.34895788657,300870.656265579,0.05271541394154458,42
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Mode & Vetements,0.1210194787810233,13887.39363086331,19297.29158321934,-0.01265193075360661,32
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Sport & Loisirs,0.17257364675335748,23389.85252413198,43800.35123411916,0.010274714080818625,29
1,baseline_moyenne_produit,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.19368481808179497,120913.71884878137,203900.7858958627,0.0473768375322008,41
1,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,A,0.14366358804495594,321939.6394874713,398229.7062789931,0.04103134705618251,33
1,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,B,0.12147305554401516,37002.932183500256,47701.50136392444,0.021711414163134376,39
1,baseline_moyenne_produit,revenue_window_xof_7j,classe_abc,C,0.47060390181124967,12013.896293057114,42854.74236090129,0.16055512312090708,153
1,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,controle_0pct,0.1242393110114918,53163.64207837787,137183.6799798787,-0.08313180788773233,53
1,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_10pct,0.15514324044303468,64046.842574469556,178726.78956323848,0.12452790539809949,59
1,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_15pct,0.16486193996210044,62604.33757269863,156058.75103330778,0.010927747208737645,57
1,baseline_moyenne_produit,revenue_window_xof_7j,treatment_group,traitement_5pct,0.17764287874373177,66792.22513195088,154273.79551497492,0.1204010169831675,56
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Alimentation & Epicerie,0.08921357931219345,3405.051282051282,7328.9065770675925,-0.07012493542282347,39
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Bebe & Enfant,0.13869363922760566,13843.642857142857,24678.439897726807,0.028447757042763352,42
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Electronique & High-Tech,0.1342935534674947,162615.7857142857,303394.36797488667,0.05337304491061169,42
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Mode & Vetements,0.11225650225973746,12881.8125,20611.597086046,-0.01812746248204029,32
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Sport & Loisirs,0.16544439692468876,22423.58620689655,44478.98920800154,0.015745972107062432,29
1,baseline_mediane_produit,revenue_window_xof_7j,categorie,Telephonie & Accessoires,0.17204659378983364,107405.39024390244,201887.4199114749,0.03598970507097455,41
1,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,A,0.1445445261246505,323913.75757575757,407266.820201859,0.04862689614256934,33
1,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,B,0.1202772463811179,36638.666666666664,49174.88249669848,0.029842293667260402,39
1,baseline_mediane_produit,revenue_window_xof_7j,classe_abc,C,0.228412591451675,5831.071895424837,21061.406952611913,-0.07801350166722651,153
1,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,controle_0pct,0.10883974002839582,46573.96226415094,126895.38238918748,-0.07847650290572061,53
1,baseline_mediane_produit,revenue_window_xof_7j,treatment_group,traitement_10pct,0.15542457218598382,64162.983050847455,184622.70509549917,0.12392019054210003,59
