window,model,target,segment_type,segment_value,wape_micro,mae,rmse,forecast_bias,n
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Alimentation & Epicerie,0.10768794582310465,0.505304976554568,0.9318084240715715,-0.07223008696378064,39
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Bebe & Enfant,0.1432557892967166,0.5968991220696525,0.97993298240918,0.03156504102060245,42
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Electronique & High-Tech,0.13722118077661152,0.6926402458248011,1.1834687922297717,0.055503101132068036,42
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Mode & Vetements,0.15802663221902763,0.8888998062320305,1.3525326368714736,0.009756006019830009,32
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Sport & Loisirs,0.19216221082652327,0.5499814999517735,0.8571643422545324,0.021417694298874225,29
1,baseline_moyenne_produit,units_sold_window_7j,categorie,Telephonie & Accessoires,0.19733925767371077,0.9000595410971687,1.4849079671490035,0.03940503503360576,41
1,baseline_moyenne_produit,units_sold_window_7j,classe_abc,A,0.1457624689868416,1.4973780905011906,1.8008152638005017,0.02936445493907096,33
1,baseline_moyenne_produit,units_sold_window_7j,classe_abc,B,0.1272487576694413,1.0636691025702016,1.3537522443178498,0.014550138730682123,39
1,baseline_moyenne_produit,units_sold_window_7j,classe_abc,C,0.1810357015026151,0.4200501570812311,0.9030739966856638,0.0007803648319572042,153
1,baseline_moyenne_produit,units_sold_window_7j,treatment_group,controle_0pct,0.13756518663981282,0.5398784683222843,0.9340774202493405,-0.0192494325511426,53
1,baseline_moyenne_produit,units_sold_window_7j,treatment_group,traitement_10pct,0.11022777611712345,0.4521207088193877,0.7478558251207531,0.04446754559597202,59
1,baseline_moyenne_produit,units_sold_window_7j,treatment_group,traitement_15pct,0.16747715483226835,0.8491385569565888,1.2503617080564153,0.0017890243764661228,57
1,baseline_moyenne_produit,units_sold_window_7j,treatment_group,traitement_5pct,0.18318387057742,0.9191904934331253,1.5521498011139157,0.027404387393259625,56
1,baseline_mediane_produit,units_sold_window_7j,categorie,Alimentation & Epicerie,0.10109289617486339,0.47435897435897434,0.9640991543856781,-0.07923497267759563,39
1,baseline_mediane_produit,units_sold_window_7j,categorie,Bebe & Enfant,0.13714285714285715,0.5714285714285714,0.9697815168769667,0.02857142857142857,42
1,baseline_mediane_produit,units_sold_window_7j,categorie,Electronique & High-Tech,0.13679245283018868,0.6904761904761905,1.224744871391589,0.05188679245283019,42
1,baseline_mediane_produit,units_sold_window_7j,categorie,Mode & Vetements,0.15,0.84375,1.334634781503914,0.005555555555555556,32
1,baseline_mediane_produit,units_sold_window_7j,categorie,Sport & Loisirs,0.1746987951807229,0.5,0.8560132129176834,0.030120481927710843,29
1,baseline_mediane_produit,units_sold_window_7j,categorie,Telephonie & Accessoires,0.18983957219251338,0.8658536585365854,1.5,0.040106951871657755,41
1,baseline_mediane_produit,units_sold_window_7j,classe_abc,A,0.14896755162241887,1.5303030303030303,1.8849483555339928,0.03687315634218289,33
1,baseline_mediane_produit,units_sold_window_7j,classe_abc,B,0.1273006134969325,1.064102564102564,1.3751456799283635,0.019938650306748466,39
1,baseline_mediane_produit,units_sold_window_7j,classe_abc,C,0.1591549295774648,0.369281045751634,0.879133560384009,-0.018309859154929577,153
1,baseline_mediane_produit,units_sold_window_7j,treatment_group,controle_0pct,0.12980769230769232,0.5094339622641509,0.9059551407112452,-0.019230769230769232,53
1,baseline_mediane_produit,units_sold_window_7j,treatment_group,traitement_10pct,0.10537190082644628,0.4322033898305085,0.7945790912196153,0.04338842975206612,59
1,baseline_mediane_produit,units_sold_window_7j,treatment_group,traitement_15pct,0.16089965397923875,0.8157894736842105,1.2994600768119313,-0.005190311418685121,57
1,baseline_mediane_produit,units_sold_window_7j,treatment_group,traitement_5pct,0.17615658362989323,0.8839285714285714,1.5367521409964402,0.026690391459074734,56
1,GLM_Poisson,units_sold_window_7j,categorie,Alimentation & Epicerie,0.3847781314448768,1.8054973860105759,2.686330898298192,-0.15085962952261722,39
1,GLM_Poisson,units_sold_window_7j,categorie,Bebe & Enfant,0.37997272477537847,1.5832196865640769,2.1288007369982056,0.18777271170806886,42
1,GLM_Poisson,units_sold_window_7j,categorie,Electronique & High-Tech,0.2896619279718239,1.462103065000635,2.0865936425796003,0.06903753632737746,42
1,GLM_Poisson,units_sold_window_7j,categorie,Mode & Vetements,0.3060567596906996,1.7215692732601853,2.1867570693093263,-0.030221887173442097,32
1,GLM_Poisson,units_sold_window_7j,categorie,Sport & Loisirs,0.43461307126718884,1.2438925832819543,1.6401526815269691,0.3085137053408376,29
1,GLM_Poisson,units_sold_window_7j,categorie,Telephonie & Accessoires,0.2904732472197033,1.32484139585572,2.1483763348882556,0.020960509608973794,41
1,GLM_Poisson,units_sold_window_7j,classe_abc,A,0.2167961893645235,2.2270881271082867,2.8645141362026574,-0.0024026926012965634,33
1,GLM_Poisson,units_sold_window_7j,classe_abc,B,0.2936561875746008,2.454664542290253,2.9634116021980894,0.05151051506874067,39
1,GLM_Poisson,units_sold_window_7j,classe_abc,C,0.49175697793189904,1.1410047527178049,1.7370185771256696,0.07886554387621195,153
1,GLM_Poisson,units_sold_window_7j,treatment_group,controle_0pct,0.2982394695908875,1.1704492391491432,1.6259484571613023,0.08100888384092873,53
1,GLM_Poisson,units_sold_window_7j,treatment_group,traitement_10pct,0.418277649236591,1.7156473070382208,2.228673001976724,0.16469286786721676,59
1,GLM_Poisson,units_sold_window_7j,treatment_group,traitement_15pct,0.31620180440796447,1.603198622349153,2.335935915695736,0.003404043300036822,57
