domain,target,model,wape_macro,wape_std,mae,rmse,bias,wape_micro_pooled
pricing,units_sold_window_7j,baseline_mediane_produit,0.13423748999014726,0.013500427259357456,0.5657591710087512,1.0643553315978218,0.005421888676234437,0.13341031562740568
pricing,units_sold_window_7j,baseline_moyenne_produit,0.14106701863142043,0.010603156324024612,0.5943248423770107,1.0431864944529794,0.009777808821565585,0.14022890036136446
pricing,units_sold_window_7j,T_learner,0.16276317289833475,0.008666464972990394,0.6850239088009279,1.1680261871334625,0.027728212032765504,0.1618491835006385
pricing,units_sold_window_7j,Ensemble_contraint,0.17009085681347047,0.008268201892550923,0.7157708427016266,1.2094306710796452,0.04393286742309573,0.16922554973469214
pricing,units_sold_window_7j,Hurdle_zero_positif,0.17312158253811613,0.009788415729028914,0.7284938873781727,1.2295414147565733,0.05213867041937855,0.17235222957620966
pricing,units_sold_window_7j,LightGBM_Monotone,0.1824419600588997,0.0069783948614917605,0.7675350158538974,1.3158876967179218,0.051931719817143146,0.18188332467050075
pricing,units_sold_window_7j,S_learner,0.18367923912907289,0.008850601730225536,0.7727617399493075,1.313900593308338,0.05222818732594415,0.18274851369991993
pricing,units_sold_window_7j,LightGBM_Tweedie,0.18367923912907289,0.008850601730225536,0.7727617399493075,1.313900593308338,0.05222818732594415,0.18274851369991993
pricing,units_sold_window_7j,CatBoost_Poisson,0.18396399823860557,0.008401713196637788,0.7737265101878835,1.2910127208843234,0.06049727593136243,0.18375424184840736
pricing,units_sold_window_7j,LightGBM_Poisson,0.20194970112855481,0.007892848463616084,0.8493673951875657,1.3765198791112798,0.05750341215923149,0.20121777867276702
pricing,units_sold_window_7j,LightGBM_L1,0.20632323821184637,0.015022013665329192,0.8676370844289965,1.481018405816018,0.06505870552233665,0.20529039282485195
pricing,units_sold_window_7j,GLM_Poisson,0.3395853178669404,0.008963089733423016,1.4272731673354777,2.124049831912906,0.08170437497751022,0.33971539288512137
pricing,units_sold_window_7j,GLM_Tweedie,0.34530200755087676,0.00910663819434512,1.4513462548870502,2.185883837646953,0.07872941568742774,0.3453981545122654
pricing,revenue_window_xof_7j,baseline_mediane_produit,0.12989246367544968,0.023358952649883857,49305.37989878571,145264.57445417758,0.0020317145978036334,0.12914771919984389
pricing,revenue_window_xof_7j,baseline_moyenne_produit,0.1379263138685002,0.022545259343470198,52374.425956903455,143675.4227062066,0.007386090670134522,0.13714074761601294
pricing,revenue_window_xof_7j,T_learner,0.13847346997806514,0.01933507096558449,52533.27996245728,149794.71854529527,0.00857829215403387,0.1377575603810674
pricing,revenue_window_xof_7j,Ensemble_contraint,0.14392650651907785,0.016334412566879303,54382.91435008476,151105.68754370036,0.013873000138918165,0.14334365802378327
pricing,revenue_window_xof_7j,Hurdle_zero_positif,0.1478933455179775,0.016064764916934197,55804.1932123949,153703.53447591446,0.016876941880360975,0.147357494183535
pricing,revenue_window_xof_7j,LightGBM_Monotone,0.14931774664967204,0.015749077001567843,56305.24504159166,155133.20290578282,0.016163766382359657,0.14880965188400866
pricing,revenue_window_xof_7j,S_learner,0.14938027824307074,0.015242933887448525,56340.22667681818,155255.33325411452,0.016291976548198393,0.14888076307022685
pricing,revenue_window_xof_7j,LightGBM_Tweedie,0.14938027824307074,0.015242933887448525,56340.22667681818,155255.33325411452,0.016291976548198393,0.14888076307022685
pricing,revenue_window_xof_7j,LightGBM_Poisson,0.1585245596928848,0.013035990889910429,59792.35292566149,153160.34056579228,0.016648352534123514,0.15809399196385598
pricing,revenue_window_xof_7j,LightGBM_L1,0.1595949394597429,0.009708874704578997,60097.225304929416,187874.4140525315,-0.015682033939015183,0.15931929234498113
pricing,revenue_window_xof_7j,CatBoost_MAE,0.18678439155675555,0.01456722484645961,70230.71737465456,220415.89616071488,-0.015601860589298274,0.1865580605064101
pricing,revenue_window_xof_7j,GLM_Poisson,0.28436421627818725,0.01857170462192811,106597.25160417584,290282.2886216429,0.020156471073405294,0.2842231342557677
pricing,revenue_window_xof_7j,GLM_Tweedie,0.29396324230732834,0.017834281962496104,110255.14011090681,310053.2009222313,0.01808872430542453,0.2937641428946581
pricing,margin_window_xof_7j,baseline_mediane_produit,0.1305197340907884,0.019887689945426043,9338.471190078038,27149.987608973617,0.00035376035266923567,0.1298010024394478
pricing,margin_window_xof_7j,baseline_moyenne_produit,0.13858232409714055,0.020219863644013767,9923.934382210919,26859.691566641315,0.004394676791505203,0.13768041096121733
pricing,margin_window_xof_7j,T_learner,0.14059820374576626,0.01382178388451728,10047.792021214636,27808.593371329112,0.0013765923403963262,0.13981856915317836
pricing,margin_window_xof_7j,Ensemble_contraint,0.14693792187082927,0.014390132152345426,10498.323309874191,27992.972153253188,0.0055470209988553116,0.14616204155252524
pricing,margin_window_xof_7j,Hurdle_zero_positif,0.1510084997082665,0.013987762522801622,10777.741222928838,28190.167001063644,0.01082141752113587,0.15029612769699494
pricing,margin_window_xof_7j,S_learner,0.1541941824092665,0.015283088479241178,11013.408750689669,28671.644750000793,0.004784497156485803,0.15347167182575494
pricing,margin_window_xof_7j,LightGBM_Tweedie,0.1541941824092665,0.015283088479241178,11013.408750689669,28671.644750000793,0.004784497156485803,0.15347167182575494
pricing,margin_window_xof_7j,LightGBM_Monotone,0.15440101761089822,0.015295466033363713,11030.619052965254,28890.189171824124,0.004443053135033747,0.15366628869377585
pricing,margin_window_xof_7j,LightGBM_Poisson,0.17089736233504582,0.011876682897174109,12188.359056727184,29055.582330624307,0.013302064207716692,0.17024986281603968
pricing,margin_window_xof_7j,LightGBM_L1,0.19554443068027194,0.010031511052841918,13864.10347941557,49100.354848771094,-0.05936098372952148,0.19566469245117385
pricing,margin_window_xof_7j,CatBoost_MAE,0.2557033905587047,0.005245740753466023,18189.597853322055,61411.24163637001,-0.06693436032811832,0.25539432688805036
pricing,margin_window_xof_7j,GLM_Poisson,0.33342194200460157,0.013741907874666186,23679.05096608221,61587.39096970711,0.031006395158497735,0.3334466980330208
pricing,margin_window_xof_7j,GLM_Tweedie,0.34947570140690476,0.015025461341920173,24817.608839018052,67566.08508820827,0.03285119318132878,0.34945779352190437
